Gas_Stations_Address,Latitude,Longitude,Pincode,Pincode( frst 3 characters),Latitiude of the nearest Fast Charger,Longitude of the nearest fast charger,Distance with the nearest fast EV charger
Schlüsselfelderstraße 32 · 96160 Geiselwind,49.7616213,10.463781,96160,961,49.9176,10.87374,34.13403292
Wiesentheider Straße 20 · 96160 Geiselwind,49.7760938,10.4611197,96160,961,49.9176,10.87374,33.5096399
Gewerbepark 2 · 91350 Gremsdorf,49.6985031,10.8546089,91350,913,49.864063,11.169754,29.17010649
Röthenbacher Straße 4 · 90571 Schwaig,49.4742568,11.2096999,90571,905,49.403379,10.691245,38.30660954
Gewerbepark B 3 · 93086 Wörth an der Donau,49.0039503,12.3691748,93086,930,48.9945501,12.1113602,18.83698404
Scheinfelder Straße 23 · 96160 Geiselwind,49.7697485,10.4699819,96160,961,49.9176,10.87374,33.29431777
Scheinfelder Straße 15 · 96160 Geiselwind,49.7697485,10.4699819,96160,961,49.9176,10.87374,33.29431777
Nürnberger Straße 25 · 90518 Altdorf,49.3860138,11.376417,90518,905,49.403379,10.691245,49.62372317
Attelsdorf 19 · 96132 Schlüsselfeld,49.7467778,10.6341119,96132,961,49.9176,10.87374,25.61614819
Rannetsreit 4 1/2 · 94535 Eging am See,48.6895124,13.2130385,94535,945,48.916002,12.882859,34.9145016
An Der Eichelfahrt 1 · 96152 Burghaslach,49.7399203,10.6378623,96152,961,49.9176,10.87374,26.0115823
Donaustraße 4 · 94491 Hengersberg,48.765282,13.0497549,94491,944,48.788887,12.895994,11.5687311
Donaustraße 8 · 94491 Hengersberg,48.765282,13.0497549,94491,944,48.788887,12.895994,11.5687311
A3 Medenbach Ost · 65207 Wiesbaden,50.0969965,8.3527926,65207,652,50.042779,8.201213,12.3847494
A3 Limburg Ost · 65549 Limburg A.D. Lahn,50.3949525,8.0778939,65549,655,50.2968102,8.2538528,16.58280671
Basler Straße 74 · 79713 Bad Saeckingen,47.5561748,7.9284003,79713,797,47.548968,7.946953,1.606468821
